"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Shewa- Bench ","Mizan- Teferi ","Deri","Amaro Kele ","Soyama","Karate","Gidola","Tercha","Besite- chere ","Lasoka","Amaya"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","90.00","90.00","90.00","82.00","-","-","62.45","85.68","70.83","100.00","118.67"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","-","-","-","-","-","-","-","-","-","-","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","-","-","-","-","-","-","-","-","-","-","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","90.00","90.00","-","82.00","-","-","62.45","85.68","70.83","100.00","118.67"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","50.00","58.28","-","40.00","-","37.42","-","49.32","32.40","-","-"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","20.00","16.67","21.21","-","18.18","28.25","31.82","25.66","26.66","-","29.32"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","11.00","12.66","10.00","-","11.00","-","-","12.32","12.00","-","10.97"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","-","12.66","-","-","11.00","11.00","10.00","12.32","12.00","11.32","-"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","11.00","12.66","11.00","11.00","11.00","-","10.00","12.32","12.00","-","-"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","3.37","4.49","2.41","-","3.53","3.26","3.33","3.00","-","3.26","3.00"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","5.62","12.86","6.00","6.00","5.00","8.93","8.00","4.00","5.00","12.50","5.00"
"16","CIGARETTES","Nyala","Packet ","13.33","13.33","10.00","10.00","13.33","12.32","10.00","10.00","10.00","13.10","10.00"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","-","-","-","-","-","-","-","-","-","-","-"
"19","CIGARETTES","Marlboro","Packet ","-","-","-","-","-","-","-","-","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","-","30.08","34.67","-","-","-","-","17.83","14.59","16.48","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","-","40.00","-","-","-","-","45.00","30.00","-","37.42","-"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","-","53.28","-","-","-","-","-","-","-","-","-"
"10","CLOTHING","Nylon(Mojo)","Meter ","45.00","-","-","-","-","-","-","-","-","-","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"12","CLOTHING","Jersi","Meter ","-","80.00","-","-","-","70.00","-","-","-","-","-"
"13","CLOTHING","Cotton","Kg ","-","-","-","14.48","-","-","13.49","-","-","22.22","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"16","CLOTHING","Kashemire","Meter ","-","-","-","-","-","-","-","-","-","-","-"
"17","CLOTHING","Deriya","Meter ","-","71.65","-","-","26.67","26.67","-","-","-","33.33","-"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","-","600.00","-","-","-","-","-","-","-","-","-"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","-","332.47","100.00","-","123.24","189.74","-","-","-","-","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","-","123.24","90.00","-","-","140.00","-","-","-","-","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","-","-","-","-","153.26","-","154.84","-","-","-","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","-","-","-","-","333.10","-","364.84","-","-","-","-"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","156.59","164.92","-","182.92","-","-","-","186.43","-","146.59"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","166.60","246.62","-","236.33","143.01","180.00","218.98","239.86","176.60","222.40","154.92"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","-","166.60","-","-","156.59","180.00","-","209.84","176.60","189.74","150.00"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","16.51","24.31","-","20.00","23.96","24.49","19.31","27.59","20.00","20.00","17.31"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","-","106.56","-","-","-","-","154.92","-","139.76","-","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","70.00","-","-","-","-","-","-","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","25.00","26.57","25.96","-","43.32","30.00","27.59","-","39.32","-","-"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","-","61.62","-","66.49","38.26","-","-","-","-","50.00","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","382.59","406.56","389.87","424.26","443.23","400.00","-","389.91","339.70","450.00","-"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-","-","-","-","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","450.00","-","365.93","300.00","-","-","433.16","-","-","-"
