"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","11.25","8.00","8.00","8.00","9.65","8.65","8.16","8.65","9.00","8.32"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","-","-","-","-","-","-","-","39.16","40.59"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","73.29","65.98","72.99","100.00","79.33","-","78.30","100.00","80.00","78.20"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","-","-","-","17.68","-","-","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","42.28","17.71","24.33","28.98","20.02","21.48","37.06","27.54","30.28","-"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","200.00","185.66","92.83","250.00","249.80","-","123.24","140.00","93.73","137.78"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","-","-","-","12.32","13.06","-","20.71","10.54","18.37","14.03"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","-","12.50","-","14.33","-","-","17.66","16.23","18.83","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","5.00","5.00","5.33","5.00","5.00","4.62","5.00","5.00","4.97","5.48"
"4","OTHER FOOD ITEMS","Sugar","Kg ","15.80","15.20","15.30","15.50","15.30","15.83","-","-","15.00","15.00"
"5","OTHER FOOD ITEMS","Honey","Kg ","40.00","58.28","60.00","56.62","85.95","76.63","52.44","63.16","100.00","103.23"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","25.00","22.57","-","24.66","24.49","-","-","22.00","26.46","31.58"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","-","-","-","-","105.00","121.24","-","105.00","96.31","-"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","1.00","2.00","1.50","1.82","1.00","1.00","1.82","1.50","2.00","2.00"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","3.00","4.00","3.83","4.64","3.16","3.00","4.12","4.64","4.00","4.00"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","3.00","4.31","3.83","5.00","4.64","5.00","4.12","4.64","4.16","3.50"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","-","-","-","-","-","-","-","-","25.96","-"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","20.00","25.33","21.95","24.88","20.00","17.66","27.39","21.31","25.96","28.23"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","23.33","32.97","26.96","33.02","26.57","20.00","35.97","28.65","31.58","36.59"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","12.00","15.66","14.28","20.08","11.60","10.00","18.64","15.94","13.92","15.00"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","-","25.33","21.95","25.95","18.00","-","27.39","30.00","30.00","20.80"
"16","COST OF MILLING","Cereals","100Kg ","20.00","20.00","23.00","30.00","30.00","26.57","30.00","40.00","23.21","25.00"
"17","COST OF MILLING","Pulses","100Kg ","30.00","30.00","30.00","50.00","50.00","57.24","50.00","75.00","23.21","40.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","100.00","100.00","100.00","150.00","300.00","310.72","100.00","200.00","131.04","150.00"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","-","7.00","7.65","7.00","8.00","-","8.00","10.00","7.00","7.00"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","10.00","10.97","11.32","9.65","8.00","9.65","10.83","10.63","8.00","6.92"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","7.32","7.00","7.65","7.65","8.00","10.00","8.00","8.32","7.00","7.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","7.32","7.00","7.65","7.00","8.00","10.00","8.00","7.61","7.00","8.00"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","60.00","66.33","61.66","88.30","75.00","72.46","66.63","90.00","80.00","80.00"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","-","-","-","88.30","75.00","-","-","-","-","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","-","-","-","88.30","75.00","-","-","-","-","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","60.00","66.33","61.66","88.30","75.00","72.46","67.45","90.00","80.00","80.00"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","45.00","57.99","48.27","45.00","40.00","-","46.26","60.00","58.28","50.00"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","20.94","22.47","22.49","28.83","28.65","-","23.10","28.09","30.29","28.09"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","-","11.66","11.00","10.32","12.00","-","-","-","-","-"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","-","-","-","11.00","12.00","-","-","-","11.00","10.66"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","10.66","11.66","10.66","10.32","12.00","-","11.00","-","11.00","12.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","3.03","2.86","3.03","1.76","2.35","2.67","1.52","1.47","2.50","3.13"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","14.81","21.27","17.86","18.52","7.89","7.32","-","-","7.69","12.77"
"16","CIGARETTES","Nyala","Packet ","-","12.00","10.00","10.00","10.00","10.00","10.00","10.00","12.00","10.00"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","-","-","-","-","30.00","-","-","-","30.00","-"
"19","CIGARETTES","Marlboro","Packet ","40.00","-","-","-","-","-","-","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","73.03","120.00","-","-","-","-","-","-","114.47","100.69"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","-","-","-","-","-","-","-","-","-"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","25.00","25.00","30.00","29.32","24.99","30.00","25.33","22.33","28.65","24.10"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","-","-","-","-","73.29","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","65.00","68.99","75.00","62.33","78.99","-","67.45","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","-","-","-","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","40.00","37.63","45.00","-","-","-","45.00","44.81","45.00","38.00"
"10","CLOTHING","Nylon(Mojo)","Meter ","-","-","-","-","32.32","25.65","-","-","29.32","-"
