"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","62.84","75.41","86.32","87.50","70.00","70.00","72.92","70.00","98.81","87.50","105.00","77.49"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","3.30","3.00","3.56","3.91","3.00","2.91","3.30","3.00","2.82","2.82","2.91","2.62"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","6.92","4.64","6.14","5.94","5.00","5.00","6.00","5.66","5.00","6.00","5.22","5.65"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","7.81","6.16","6.95","7.96","5.65","6.66","6.87","6.32","5.65","7.00","6.32","6.32"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","35.00","-","-","-","-","-","-","-","-","-","-","27.39"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","42.51","32.40","37.50","33.25","35.52","33.02","38.26","34.47","31.29","34.24","34.61","32.27"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","59.86","43.09","40.12","43.27","43.66","34.76","47.62","43.43","36.29","40.00","37.42","44.81"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","32.27","28.23","26.44","33.87","26.21","22.37","33.56","27.39","19.31","23.21","21.63","27.59"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","45.79","29.72","39.02","31.58","35.52","29.72","40.17","33.10","28.60","34.24","34.61","32.27"
"16","COST OF MILLING","Cereals","100Kg ","30.00","28.23","26.21","40.00","30.00","30.00","30.00","40.00","33.02","30.00","30.00","23.21"
"17","COST OF MILLING","Pulses","100Kg ","30.00","36.34","26.21","40.00","36.34","40.00","30.00","40.00","33.02","40.00","40.00","40.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","200.00","122.47","150.00","200.00","150.00","200.00","200.00","232.08","200.00","150.00","181.71","200.00"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","6.65","6.65","7.37","6.32","6.32","7.37","7.37","6.32","7.37","6.65","7.00","7.00"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","7.65","7.65","8.00","8.00","7.00","7.00","8.00","6.32","7.83","7.49","6.65","7.65"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","7.00","6.32","7.00","6.00","6.00","7.00","7.47","7.00","7.00","6.65","7.00","7.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","7.00","6.32","7.00","6.00","6.00","7.00","7.47","7.00","7.00","6.65","7.00","7.00"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","71.63","66.63","70.00","70.00","63.29","76.63","65.73","70.00","71.63","61.62","68.29","70.00"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","71.63","67.45","70.00","70.00","63.29","80.00","65.73","70.00","71.63","61.62","68.29","-"
