"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"17","FOOTWEAR (MEN AND WOMEN)","Boots for Men Plastic (Local)","Pair ","-","110.00","90.00","134.91","-"
"18","FOOTWEAR (MEN AND WOMEN)","Sendel Plastic Shoes (Imp","Pair ","40.00","42.43","35.00","32.09","43.27"
"19","FOOTWEAR (MEN AND WOMEN)","Cost of Mending Shoes sole(Men)","Pair ","45.00","-","-","65.14","45.00"
"20","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(China)","Pair ","293.18","-","-","-","-"
"21","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(Local)","Pair ","-","-","120.00","149.78","398.00"
"22","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Local)","Pair ","-","-","-","139.76","237.00"
"23","FOOTWEAR (MEN AND WOMEN)","Plastic shoe(Childern)","Pair ","28.23","-","13.00","13.16","20.00"
"24","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Imported)","Pair ","-","-","-","-","-"
"25","FOOTWEAR (MEN AND WOMEN)","Shoe sendel(Plastic) Childern","Pair ","-","-","-","23.44","-"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","185.00","-","175.00","95.49","85.00"
"2","CONSTRUCTION MATERIALS","Lime","","6.00","-","-","4.09","4.26"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","4.64","-","3.40","4.73","-"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","35.33","40.00","40.00","34.66","35.00"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","61.62","72.46","63.29","50.00","49.32"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","-","-","127.67","120.00","115.00"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","40.00","-","20.00","46.03","22.00"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","156.10","-","145.00","148.53","156.10"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","236.62","-","248.32","248.91","246.62"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","-","-","320.00","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","10.00","-","-","7.39","5.00"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","3.00","-","-","7.00","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","-","-","167.31","161.65"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","-","-","-","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","-","-","-","220.00","170.00"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","175.00","-","-","140.00","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","-","-","73.19","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","-","-","49.49","52.50"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","3350.00","-"
