"Regions","CATEGORY","ITEM","UNIT","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","AFAR","AFAR","AFAR","AFAR"
"Markets","CATEGORY","ITEM","UNIT","Enda- silase ","Enda- baguna ","Adwa","Axum","Adigrat","Wukiro","Mai- chew ","Mekelle","Ayisaeta","Dubti","Melka Werers ","Sebat killo "
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","36.59","22.96","30.00","28.00","25.00","28.60","25.00","30.72","25.00","33.25","26.57","25.00"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","41.60","30.00","35.00","35.00","35.00","37.96","35.00","43.41","36.59","40.00","35.00","38.26"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","21.63","18.00","25.00","20.00","20.00","25.25","20.00","35.11","13.92","13.00","14.33","16.31"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","35.00","-","30.00","28.00","25.00","28.60","25.00","30.72","25.00","35.00","26.57","25.00"
"16","COST OF MILLING","Cereals","100Kg ","40.00","35.00","20.00","35.00","40.00","40.00","30.00","40.00","30.00","30.00","25.00","25.00"
"17","COST OF MILLING","Pulses","100Kg ","45.00","40.00","80.00","75.00","100.00","150.00","100.00","150.00","40.00","50.00","35.00","30.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","300.00","228.94","150.00","-","200.00","300.00","300.00","300.00","200.00","100.00","158.74","200.00"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","11.29","10.00","10.00","8.00","8.00","9.00","8.65","10.60","7.00","8.42","8.42","8.42"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","7.00","10.00","8.32","9.65","9.65","9.65","9.00","10.60","8.00","6.67","12.66","10.00"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","9.32","9.00","10.00","8.00","8.00","9.00","8.65","10.60","7.00","8.00","8.32","8.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","9.32","9.00","10.00","8.00","8.00","9.00","8.65","10.60","7.00","8.00","8.65","8.65"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","55.00","61.62","55.00","55.00","54.33","53.00","55.00","49.93","-","-","65.00","75.00"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","-","-","-","55.00","-","-","-","52.36","-","-","-","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","-","-","-","-","-","-","-","59.33","-","-","-","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","56.62","-","55.00","55.99","54.33","53.00","-","52.36","-","-","-","75.00"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","59.33","60.00","40.00","36.99","40.00","39.32","57.66","36.50","50.00","-","60.00","45.00"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","25.00","-","-","36.33","29.17","22.22","28.09","33.33","39.33","44.44","31.58","33.71"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","10.97","12.00","-","-","11.00","-","-","-","-","-","-","-"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","-","-","-","10.66","11.00","-","-","14.00","10.00","12.00","10.97","12.00"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","11.29","12.00","11.00","10.66","11.00","14.26","12.66","14.00","-","-","10.97","12.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","2.82","2.70","4.05","3.37","3.47","4.29","2.40","5.56","4.71","4.71","3.32","3.00"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","-","-","-","8.00","12.34","8.25","9.09","15.80","-","7.58","8.62","11.54"
"16","CIGARETTES","Nyala","Packet ","10.00","10.00","-","-","12.00","12.00","10.00","-","10.00","10.00","10.00","11.29"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","30.00","30.00","30.00","40.00","37.42","40.00","-","40.00","-","30.00","-","22.36"
"19","CIGARETTES","Marlboro","Packet ","-","-","-","-","-","-","-","-","-","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","-","-","-","-","-","-","-","-","-","-","19.37","25.00"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","20.65","19.66","24.31","18.98","23.99","28.65","-","18.00","-","-","-","-"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","31.58","-","29.64","28.99","30.00","35.89","35.00","25.00","35.00","30.00","36.32","26.50"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","-","-","70.00","-","-","-","-","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-","-","400.00","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","86.64","-","-","70.66","-","-","104.88","-","-","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","38.26","-","26.64","-","-","-","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","58.28","-","38.99","45.99","-","55.00","55.00","45.00","52.44","-","-","46.50"
"10","CLOTHING","Nylon(Mojo)","Meter ","29.32","30.00","31.32","32.99","-","40.00","-","-","-","-","-","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","88.30","-","-","-","-","-","-","-","-","-","-","-"
"12","CLOTHING","Jersi","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"13","CLOTHING","Cotton","Kg ","21.54","23.21","22.33","24.33","30.00","20.00","40.00","40.00","-","-","-","-"
"14","CLOTHING","Hisufi ","Meter ","119.72","-","-","80.32","72.46","81.63","110.00","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-","-","-","60.00","-","-","-"
